Email,Age,Education,Marital-status,Gender,Income
5.294607179961542,25,11th,Never-married,Male,<=50k
76.8301870341988,38,HS-grad,Married-civ-spouse,Male,<=50k
50.00695310718278,28,Assoc-acdm,Married-civ-spouse,Male,>50k
31.196106605957684,44,Some-college,Married-civ-spouse,Male,>50k
54.96388675342339,34,10th,Never-married,Male,<=50k
19.36298930651056,63,Prof-school,Married-civ-spouse,Male,>50k
44.928520519573354,24,Some-college,Never-married,Female,<=50k
40.11743895388745,55,7th-8th,Married-civ-spouse,Male,<=50k
90.21029460757512,65,HS-grad,Married-civ-spouse,Male,>50k
16.651722312968797,36,Bachelors,Married-civ-spouse,Male,<=50k
55.10397362959554,26,HS-grad,Never-married,Female,<=50k
98.96252929215235,48,HS-grad,Married-civ-spouse,Male,>50k
68.63756807269503,43,Masters,Married-civ-spouse,Male,>50k
66.8913745035493,20,Some-college,Never-married,Male,<=50k
61.79547049879199,43,HS-grad,Married-civ-spouse,Female,<=50k
93.20765479491217,37,HS-grad,Widowed,Female,<=50k
74.22124428145125,34,Bachelors,Married-civ-spouse,Male,>50k
90.57016897356822,34,Some-college,Never-married,Female,<=50k
76.8039941604524,25,Bachelors,Never-married,Male,<=50k
21.8819704365387,25,Bachelors,Married-civ-spouse,Male,<=50k
22.84930037790146,45,HS-grad,Married-civ-spouse,Male,>50k
89.67049847509726,22,HS-grad,Never-married,Male,<=50k
26.542791612338632,23,HS-grad,Separated,Male,<=50k
26.02230314488012,54,HS-grad,Married-civ-spouse,Male,<=50k
24.677516038008452,32,Some-college,Never-married,Male,<=50k
90.4853185399987,46,Some-college,Married-civ-spouse,Male,>50k
12.989700748481825,56,11th,Widowed,Female,<=50k
36.5534370324075,24,Bachelors,Never-married,Male,<=50k
31.116341573671146,23,Some-college,Married-civ-spouse,Male,<=50k
41.8209089760337,26,HS-grad,Divorced,Female,<=50k
65.01021867847116,36,Bachelors,Married-civ-spouse,Male,>50k
66.0176085096173,22,5th-6th,Never-married,Male,<=50k
65.31974767405032,17,10th,Never-married,Male,<=50k
3.7368021266166784,20,HS-grad,Never-married,Male,<=50k
93.96853032571568,65,Masters,Married-civ-spouse,Male,>50k
45.07948350010452,44,Assoc-voc,Married-civ-spouse,Male,>50k
36.32327395059409,36,HS-grad,Married-civ-spouse,Male,<=50k
12.246316083199115,29,11th,Married-civ-spouse,Male,<=50k
21.774773770641154,20,Some-college,Never-married,Male,<=50k
